ano,mes,sigla_uf,ddd,tecnologia,sinal,acessos
2009,2,PR,42,AMPS,1G,346
2009,2,PR,42,CDMA IS 95,2G,72545
2009,2,PR,42,CDMA2000,2G,672
2009,2,PR,42,Dados > 256kbps,3G,3513
2009,2,PR,42,Dados até 256kbps,2G,4989
2009,2,PR,42,GSM,2G,917407
2009,2,PR,42,TDMA,2G,11321
2009,2,PR,42,WCDMA,3G,2398
2009,2,PR,43,AMPS,1G,668
2009,2,PR,43,CDMA IS 95,2G,116361
2009,2,PR,43,CDMA2000,2G,2147
2009,2,PR,43,Dados > 256kbps,3G,5206
2009,2,PR,43,Dados até 256kbps,2G,55226
2009,2,PR,43,GSM,2G,1292587
2009,2,PR,43,TDMA,2G,10078
2009,2,PR,43,WCDMA,3G,7457
2009,2,PR,44,AMPS,1G,1273
2009,2,PR,44,CDMA IS 95,2G,86890
2009,2,PR,44,CDMA2000,2G,1458
2009,2,PR,44,Dados > 256kbps,3G,3203
2009,2,PR,44,Dados até 256kbps,2G,5713
2009,2,PR,44,GSM,2G,1326329
2009,2,PR,44,TDMA,2G,10829
2009,2,PR,44,WCDMA,3G,4665
2009,2,PR,45,AMPS,1G,815
2009,2,PR,45,CDMA IS 95,2G,76483
2009,2,PR,45,CDMA2000,2G,1138
2009,2,PR,45,Dados > 256kbps,3G,3019
2009,2,PR,45,Dados até 256kbps,2G,5056
2009,2,PR,45,GSM,2G,806621
2009,2,PR,45,TDMA,2G,6292
2009,2,PR,45,WCDMA,3G,4143
2009,2,PR,46,AMPS,1G,272
2009,2,PR,46,CDMA IS 95,2G,40415
2009,2,PR,46,CDMA2000,2G,388
2009,2,PR,46,Dados > 256kbps,3G,854
2009,2,PR,46,Dados até 256kbps,2G,1109
2009,2,PR,46,GSM,2G,306656
2009,2,PR,46,TDMA,2G,4779
2009,2,PR,46,WCDMA,3G,1055
2009,2,RJ,21,CDMA IS 95,2G,1067628
2009,2,RJ,21,CDMA2000,2G,32927
2009,2,RJ,21,Dados > 256kbps,3G,77359
2009,2,RJ,21,Dados até 256kbps,2G,171897
2009,2,RJ,21,GSM,2G,10605327
2009,2,RJ,21,WCDMA,3G,107287
2009,2,RJ,22,CDMA IS 95,2G,367734
2009,2,RJ,22,CDMA2000,2G,7410
2009,2,RJ,22,Dados > 256kbps,3G,10577
2009,2,RJ,22,Dados até 256kbps,2G,12014
2009,2,RJ,22,GSM,2G,1533755
2009,2,RJ,22,WCDMA,3G,14485
2009,2,RJ,24,CDMA IS 95,2G,179610
2009,2,RJ,24,CDMA2000,2G,2595
2009,2,RJ,24,Dados > 256kbps,3G,5398
2009,2,RJ,24,Dados até 256kbps,2G,9082
2009,2,RJ,24,GSM,2G,1178653
2009,2,RJ,24,WCDMA,3G,7054
2009,2,RN,84,AMPS,1G,28
2009,2,RN,84,Dados > 256kbps,3G,3468
2009,2,RN,84,Dados até 256kbps,2G,24746
2009,2,RN,84,GSM,2G,2233403
2009,2,RN,84,TDMA,2G,26723
2009,2,RN,84,WCDMA,3G,4059
2009,2,RO,69,CDMA IS 95,2G,88619
2009,2,RO,69,CDMA2000,2G,867
2009,2,RO,69,Dados > 256kbps,3G,3236
2009,2,RO,69,Dados até 256kbps,2G,11601
2009,2,RO,69,GSM,2G,1055458
2009,2,RO,69,WCDMA,3G,11008
2009,2,RR,95,CDMA IS 95,2G,24005
2009,2,RR,95,CDMA2000,2G,357
2009,2,RR,95,Dados > 256kbps,3G,3124
2009,2,RR,95,Dados até 256kbps,2G,1232
2009,2,RR,95,GSM,2G,227777
2009,2,RR,95,WCDMA,3G,2273
2009,2,RS,51,CDMA IS 95,2G,647415
2009,2,RS,51,CDMA2000,2G,11488
2009,2,RS,51,Dados > 256kbps,3G,35210
2009,2,RS,51,Dados até 256kbps,2G,125678
2009,2,RS,51,GSM,2G,4500120
2009,2,RS,51,TDMA,2G,42004
2009,2,RS,51,WCDMA,3G,83921
2009,2,RS,53,AMPS,1G,74
2009,2,RS,53,CDMA IS 95,2G,51285
2009,2,RS,53,CDMA2000,2G,492
